Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"tap(findTestObject(""Object Repository/Object_LevelUp/select_SPIDOL_BIRU_BESAR""), 15)",,,,09-09-2024 11:21:39,09-09-2024 11:21:50,10.504s,PASSED
"setText(findTestObject(""Object Repository/Object_LevelUp/field_Qty""), ""7"", 5)",,,,09-09-2024 11:21:50,09-09-2024 11:21:51,1.287s,PASSED
hideKeyboard(),,,,09-09-2024 11:21:51,09-09-2024 11:21:53,2.418s,PASSED
"tap(findTestObject(""Object Repository/Object_LevelUp/field_Uom""), 5)",,,,09-09-2024 11:21:53,09-09-2024 11:21:54,0.730s,PASSED
"tap(findTestObject(""Object Repository/Object_LevelUp/select_UNIT""), 5)",,,,09-09-2024 11:21:54,09-09-2024 11:21:56,2.097s,PASSED
"tap(findTestObject(""Object Repository/Object_LevelUp/button_saveItem""), 5)",,,,09-09-2024 11:21:56,09-09-2024 11:21:59,2.543s,PASSED
"takeScreenshotAsCheckpoint(""Setelah Input Item"", [])",,,,09-09-2024 11:21:59,09-09-2024 11:22:00,1.070s,PASSED
"delay(2, STOP_ON_FAILURE)",,,,09-09-2024 11:22:00,09-09-2024 11:22:02,2.013s,PASSED
"tap(findTestObject(""Object Repository/Object_LevelUp/button_Next (1)""), 5)",,,,09-09-2024 11:22:02,09-09-2024 11:22:03,0.830s,PASSED
"takeScreenshotAsCheckpoint(""Sebelum Input Journal"", [])",,,,09-09-2024 11:22:03,09-09-2024 11:22:03,0.859s,PASSED
"delay(2, STOP_ON_FAILURE)",,,,09-09-2024 11:22:03,09-09-2024 11:22:05,2.010s,PASSED
"setText(findTestObject(""Object_LevelUp/field_JournalRemark""), ""Journal Remark Automation"", 5)",,,,09-09-2024 11:22:05,09-09-2024 11:22:07,1.647s,PASSED
hideKeyboard(),,,,09-09-2024 11:22:07,09-09-2024 11:22:08,0.984s,PASSED
"setText(findTestObject(""Object Repository/Object_LevelUp/field_Description""), ""Description Automation"", 5)",,,,09-09-2024 11:22:08,09-09-2024 11:22:10,1.649s,PASSED
hideKeyboard(),,,,09-09-2024 11:22:10,09-09-2024 11:22:11,0.882s,PASSED
"takeScreenshotAsCheckpoint(""Setelah Input Journal"", [])",,,,09-09-2024 11:22:11,09-09-2024 11:22:11,0.745s,PASSED
"delay(2, STOP_ON_FAILURE)",,,,09-09-2024 11:22:11,09-09-2024 11:22:13,2.013s,PASSED
"tap(findTestObject(""Object Repository/Object_LevelUp/button_Save""), 5)",,,,09-09-2024 11:22:13,09-09-2024 11:22:14,1.099s,PASSED
"delay(10, STOP_ON_FAILURE)",,,,09-09-2024 11:22:14,09-09-2024 11:22:24,10.014s,PASSED
"takeScreenshotAsCheckpoint(""Berhasil Add Stock Transfer"", [])",,,,09-09-2024 11:22:24,09-09-2024 11:22:25,0.946s,PASSED
"delay(2, STOP_ON_FAILURE)",,,,09-09-2024 11:22:25,09-09-2024 11:22:27,2.013s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,09-09-2024 11:22:27,09-09-2024 11:22:32,5.017s,PASSED
closeApplication(),,,,09-09-2024 11:22:32,09-09-2024 11:22:33,0.811s,PASSED
